product_name,actual_price,predicted_clienta_category,predicted_clientb_department,predicted_clientb_price_tier
"iQOO Z6 44W by vivo (Lumina Blue, 4GB RAM, 128GB Storage) | 6.44"" FHD+ AMOLED Display | 50% Charge in just 27 mins | in-Display Fingerprint Scanning",19999.0,Electronics > Accessories > Cables,Electronics,Mid-Range
"Lava Charging Adapter Elements D3 2A Fast Charging Speed Usb Type C Data Cable, White",449.0,Electronics > Accessories > Cables,Electronics,Value
"pTron Solero 331 3.4Amps Multifunction Fast Charging Cable, 3-in-1 USB Cable Micro USB/Type-C/iOS, Made in India, Durable & Strong & Tangle-free 118cm in Length (Black)",931.0,Mobile > Accessories > Cable,Electronics,Value
"AGARO Regal Electric Rice Cooker, 3L Ceramic Inner Bowl, Cooks Up to 600 Gms Raw Rice, SS Steamer, Preset Cooking Functions, Preset Timer, Keep Warm Function, LED Display, Black",5495.0,Home > Kitchen > cooker,Home & Kitchen,Mid-Range
Abode Kitchen Essential Measuring Cup & Spoon for Spices | for Cooking and Baking Cake | Multipurpose Tablespoon Cups with Ring Holder | (Black),300.0,Home > Accessories > Heaters,Electronics,Value
"Bajaj DX-2 600W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, Black",625.0,Home > Appliances > Heaters,Home & Kitchen,Value
AmazonBasics Induction Cooktop 1600 Watt (Black),3300.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with mic, 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Gaming, ENx Tech, ASAP Charge, IWP, IPX4 Water Resistance (Bold Black)",4490.0,Electronics > Accessories > Cables,Electronics,Mid-Range
"Wonderchef Nutri-blend Mixer, Grinder & Blender | Powerful 400W 22000 RPM motor | Stainless steel Blades | 2 unbreakable jars | 2 Years warranty | Online recipe book by Chef Sanjeev Kapoor | Black",5000.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
"Philips HD6975/00 25 Litre Digital Oven Toaster Grill, Grey, 25 liter",8995.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
"Preethi Blue Leaf Diamond MG-214 mixer grinder 750 watt (Blue/White), 3 jars & Flexi Lid, FBT motor with 2yr Guarantee & Lifelong Free Service",9455.0,Home > Kitchen > Mixer,Home & Kitchen,Mid-Range
Sansui 80cm (32 inches) HD Ready Smart LED TV JSY32SKHD (BLACK) With Bezel-less Design,19990.0,Electronics > Televisions > LED TVs,Electronics,Premium
"Inalsa Electric Kettle Prism Inox - 1350 W with LED Illumination & Boro-Silicate Body, 1.8 L Capacity along with Cordless Base, 2 Year Warranty (Black)",2995.0,Home > Kitchen > Heaters,Home & Kitchen,Value
Casio MJ-12D 150 Steps Check and Correct Desktop Calculator,440.0,Home > Accessories > Heaters,Electronics,Value
USHA Armor AR1100WB 1100 W Dry Iron with Black Weilburger Soleplate (Purple),990.0,Home > Appliances > Irons,Home & Kitchen,Value
"Philips EasySpeed Plus Steam Iron GC2145/20-2200W, Quick Heat Up with up to 30 g/min steam, 110 g steam Boost, Scratch Resistant Ceramic Soleplate, Vertical steam & Drip-Stop",3295.0,Home > Appliances > Irons,Electronics,Mid-Range
Canon PIXMA MG2577s All-in-One Inkjet Colour Printer with 1 Additional Colour Cartridge,3875.0,Electronics > Accessories > Cables,Electronics,Value
"Inalsa Vacuum Cleaner Wet and Dry Micro WD10 with 3in1 Multifunction Wet/Dry/Blowing| 14KPA Suction and Impact Resistant Polymer Tank,(Yellow/Black)",10295.0,Home > Cleaning > Vacuum cleaner,Home & Kitchen,Premium
Karbonn 80 cm (32 Inches) Millennium Series HD Ready LED TV KJW32NSHDF (Phantom Black) with Bezel-Less Design,16990.0,Electronics > Phones > Mid-Tier,Electronics,Premium
"Borosil Rio 1.5 L Electric Kettle, Stainless Steel Inner Body, Boil Water For Tea, Coffee, Soup, Silver",1440.0,Home > Appliances > Heaters,Home & Kitchen,Value
"ZIGMA WinoteK WinoteK Sun Instant Water Geyser, Water Heater, Portable Water Heater, Geysers Made of First Class ABS Plastic, automatic Reset Model, AE10-3 W (Yellow)",2550.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
Lint Remover Woolen Clothes Lint Extractor Battery Lint Removing Machine Bhur Remover,749.0,Home > Appliances > Heaters,Home & Kitchen,Value
Wacom One by CTL-472/K0-CX Digital Drawing Graphics Pen Tablet (Red & Black) Small (6-inch x 3.5-inch)(15x8cm) | Battery Free Cordless Pen with 2048 Pressure Level,4699.0,Electronics > Accessories > Cables,Electronics,Mid-Range
"Mi Air Purifier 3 with True HEPA Filter, removes air pollutants, smoke, odor, bacteria & viruses with 99.97% efficiency, coverage area up to 484 sq. ft., Wi-Fi & Voice control - Alexa/GA (white)",12999.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
"AmazonBasics High-Speed Braided HDMI Cable - 3 Feet - Supports Ethernet, 3D, 4K and Audio Return (Black)",650.0,Electronics > Accessories > Cables,Electronics,Value
Boat A 350 Type C Cable 1.5m(Jet Black),798.0,Electronics > Accessories > Cables,Electronics,Value
"Singer Aroma 1.8 Liter Electric Kettle High Grade Stainless Steel with Cool and Touch Body and Cordless Base, 1500 watts, Auto Shut Off with Dry Boiling (Silver/Black)",2385.0,Home > Kitchen > Heaters,Home & Kitchen,Mid-Range
"Havells Instanio 3-Litre 4.5KW Instant Water Heater (Geyser), White Blue",6070.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
Crompton Gracee 5-L Instant Water Heater (Geyser),7299.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
"Lava A1 Josh 21(Blue Silver) -Dual Sim,Call Blink Notification,Military Grade Certified with 4 Day Battery Backup, Keypad Mobile",1249.0,Home > Appliances > Heaters,Electronics,Value
"Inalsa Hand Blender| Hand Mixer|Beater - Easy Mix, Powerful 250 Watt Motor | Variable 7 Speed Control | 1 Year Warranty | (White/Red)",1395.0,Home > Kitchen > Mixer,Home & Kitchen,Value
Borosil Chef Delite BCH20DBB21 300-Watt Chopper (Black),2490.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
"Butterfly Hero Mixer Grinder, 500W, 3 Jars (Grey)",3899.0,Home > Kitchen > Mixer,Home & Kitchen,Mid-Range
"Sujata Dynamix DX Mixer Grinder, 900W, 3 Jars (White)",8478.0,Home > Kitchen > Mixer,Home & Kitchen,Mid-Range
"Philips Air Purifier Ac2887/20,Vitashield Intelligent Purification,Long Hepa Filter Life Upto 17000 Hours,Removes 99.9% Airborne Viruses & Bacteria,99.97% Airborne Pollutants,Ideal For Master Bedroom",23559.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
Usha Hc 812 T Thermo Fan Room Heater,3290.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
Kenstar 2400 Watts 9 Fins Oil Filled Radiator with PTC Fan Heater (BLACK GOLD),11990.0,Home > Appliances > Heaters,Home & Kitchen,Premium
"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black",895.0,Computing > Accessories > Mouse,Electronics,Value
"Noir Aqua - 5pcs PP Spun Filter + 1 Spanner | for All Types of RO Water purifiers (5 Piece, White, 10 Inch, 5 Micron) - RO Spun Filter Cartridge Sponge Replacement Water Filter Candle",919.0,Home > Accessories > Heaters,Home & Kitchen,Value
Monitor AC Stand/Heavy Duty Air Conditioner Outdoor Unit Mounting Bracket,1690.0,Home > Appliances > Heaters,Home & Kitchen,Value
"PHILIPS HL1655/00 Hand Blender, White Jar 250W",1695.0,Home > Appliances > Heaters,Home & Kitchen,Value
Havells Ventil Air DX 200mm Exhaust Fan (White),2360.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black),19999.0,Mobile > Phones > Premium Tier,Electronics,Premium
HUL Pureit Eco Water Saver Mineral RO+UV+MF AS wall mounted/Counter top Black 10L Water Purifier,24850.0,Home > Appliances > Heaters,Electronics,Mid-Range
"Libra Room Heater for Home, Room Heaters Home for Winter, Electric Heater with 2000 Watts Power as per IS Specification for Small to Medium Rooms - FH12 (Grey)",2299.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
Crompton InstaBliss 3-L Instant Water Heater (Geyser) with Advanced 4 Level Safety,4400.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
"CARDEX Digital Kitchen Weighing Machine Multipurpose Electronic Weight Scale With Back Lite LCD Display for Measuring Food, Cake, Vegetable, Fruit (KITCHEN SCALE)",389.0,Home > Appliances > Heaters,Home & Kitchen,Value
"Usha Aurora 1000 W Dry Iron with Innovative Tail Light Indicator, Weilburger Soleplate (White & Grey)",1390.0,Home > Appliances > Heaters,Home & Kitchen,Value
"Philips GC026/30 Fabric Shaver, Lint Remover for Woolen Sweaters, Blankets, Jackets/Burr Remover Pill Remover from Carpets, Curtains (White)",1695.0,Home > Appliances > Heaters,Home & Kitchen,Value
Philips Daily Collection HD2582/00 830-Watt 2-Slice Pop-up Toaster (White),2095.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
"Pigeon Healthifry Digital Air Fryer, 360° High Speed Air Circulation Technology 1200 W with Non-Stick 4.2 L Basket - Green",7950.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
"V-Guard Zenora RO+UF+MB Water Purifier | Suitable for water with TDS up to 2000 ppm | 8 Stage Purification with World-class RO Membrane and Advanced UF Membrane | Free PAN India Installation & 1-Year Comprehensive Warranty | 7 Litre, Black",13049.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
Prestige PKGSS 1.7L 1500W Electric Kettle (Stainless Steel),1345.0,Home > Kitchen > cooker,Home & Kitchen,Value
"Havells Instanio 1-Litre 3KW Instant Water Heater (Geyser), White Blue",4560.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
"USHA 1212 PTC with Adjustable Thermostat Fan Heater (Black/Brown, 1500-Watts).",4990.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
"V-Guard Divino 5 Star Rated 15 Litre Storage Water Heater (Geyser) with Advanced Safety Features, White",8500.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
Inventis 5V 1.2W Portable Flexible USB LED Light Lamp (Colors may vary),39.0,Home > Accessories > Heaters,Electronics,Value
"ENVIE® (AA10004PLNi-CD) AA Rechargeable Batteries, Low Self Discharge, AA 1000mAh Ni-CD (Pack of 4)",250.0,Electronics > Accessories > Cables,Electronics,Value
HP 32GB Class 10 MicroSD Memory Card (U1 TF Card 32GB),1600.0,Home > Accessories > Heaters,Electronics,Value
"Logitech M331 Silent Plus Wireless Mouse, 2.4GHz with USB Nano Receiver, 1000 DPI Optical Tracking, 3 Buttons, 24 Month Life Battery, PC/Mac/Laptop - Black",1645.0,Computing > Accessories > Mouse,Electronics,Value
Philips GC1920/28 1440-Watt Non-Stick Soleplate Steam Iron,2095.0,Home > Appliances > Irons,Home & Kitchen,Mid-Range
VW 80 cm (32 inches) Frameless Series HD Ready LED TV VW32A (Black),12999.0,Electronics > Phones > LED TVs,Electronics,Premium
MI 108 cm (43 inches) 5A Series Full HD Smart Android LED TV L43M7-EAIN (Black),35999.0,Mobile > Phones > Premium Tier,Electronics,Premium
AmazonBasics 6 Feet DisplayPort to DisplayPort Cable - (Not HDMI Cable) (Gold),1100.0,Electronics > Accessories > Cables,Electronics,Value
"Pigeon by Stovekraft Amaze Plus Electric Kettle (14313) with Stainless Steel Body, 1.8 litre, used for boiling Water, making tea and coffee, instant noodles, soup etc. 1500 Watt (Silver)",1345.0,Home > Kitchen > Mixer,Home & Kitchen,Value
AO Smith HSE-VAS-X-015 Storage 15 Litre Vertical Water Heater (Geyser) White 4 Star,10900.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
"BRUSTRO Copytinta Coloured Craft Paper A4 Size 80 GSM Mixed Bright Colour 40 Sheets Pack (10 cols X 4 Sheets) Double Side Color for Office Printing, Art and Craft.",99.0,Home > Accessories > Heaters,Home & Kitchen,Value
Faber-Castell Connector Pen Set - Pack of 25 (Assorted),150.0,Home > Accessories > Heaters,Home & Kitchen,Value
HP 32GB Class 10 MicroSD Memory Card (U1 TF Card 32GB),1600.0,Home > Accessories > Heaters,Electronics,Value
"Logitech Pebble M350 Wireless Mouse with Bluetooth or USB - Silent, Slim Computer Mouse with Quiet Click for Laptop, Notebook, PC and Mac - Graphite",2295.0,Electronics > Accessories > Cables,Electronics,Mid-Range
"Prestige PWG 07 Wet Grinder, 2L (Multicolor) with Coconut Scraper and Atta Kneader Attachments, 200 Watt",4330.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
"Flix (Beetel) Usb To Type C Pvc Data Sync And 2A 480Mbps Data Sync, Tough Fast Charging Long Cable For Usb Type C Devices, Charging Adapter (White, 1 Meter) - Xcd-C12",249.0,Electronics > Accessories > Charging Cable,Electronics,Value
AmazonBasics USB Type-C to USB Type-C 2.0 Cable - 3 Feet Laptop (0.9 Meters) - White,845.0,Electronics > Accessories > Cables,Electronics,Value
Goldmedal Curve Plus 202042 Plastic Spice 3-Pin 240V Universal Travel Adaptor (White),171.0,Electronics > Accessories > Cables,Electronics,Value
Empty Mist Trigger Plastic Spray Bottle for Multi use 200ml Pack of 2,199.0,Home > Appliances > Heaters,Home & Kitchen,Value
"Zebronics Zeb-Power Wired USB Mouse, 3-Button, 1200 DPI Optical Sensor, Plug & Play, for Windows/Mac",249.0,Electronics > Accessories > Cables,Electronics,Value
Green Tales Heat Seal Mini Food Sealer-Impulse Machine for Sealing Plastic Bags Packaging,300.0,Home > Appliances > Heaters,Home & Kitchen,Value
"Philips GC181 Heavy Weight 1000-Watt Dry Iron, Pack of 1",1545.0,Home > Appliances > Heaters,Home & Kitchen,Value
Dr Trust Electronic Kitchen Digital Scale Weighing Machine (Blue),1900.0,Home > Accessories > Heaters,Home & Kitchen,Value
"Butterfly Jet Elite Mixer Grinder, 750W, 4 Jars (Grey)",5795.0,Home > Kitchen > Mixer,Home & Kitchen,Mid-Range
"AmazonBasics Cylinder Bagless Vacuum Cleaner with Power Suction, Low Sound, High Energy Efficiency and 2 Years Warranty (1.5L, Black)",6000.0,Home > Appliances > Heaters,Electronics,Mid-Range
"iQOO Z6 44W by vivo (Raven Black, 4GB RAM, 128GB Storage) | 6.44"" FHD+ AMOLED Display | 50% Charge in just 27 mins | in-Display Fingerprint Scanning",19999.0,Electronics > Accessories > Cables,Electronics,Mid-Range
VU 108 cm (43 inches) Premium Series Full HD Smart LED TV 43GA (Black),35000.0,Mobile > Phones > Premium Tier,Electronics,Premium
"Pigeon by Stovekraft Quartz Electric Kettle (14299) 1.7 Litre with Stainless Steel Body, used for boiling Water, making tea and coffee, instant noodles, soup etc. 1500 Watt (Silver)",1249.0,Home > Kitchen > cooker,Home & Kitchen,Value
"3M Scotch Double Sided Heavy Duty Tape(1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, Car Interiors, Extension Boards, Wall decoration, etc)(L: 3m, W: 24mm)",165.0,Home > Accessories > Heaters,Home & Kitchen,Value
Fujifilm Instax Mini Single Pack 10 Sheets Instant Film for Fuji Instant Cameras,549.0,Electronics > Accessories > Cables,Electronics,Value
"Cello Eliza Plastic Laundry Bag/Basket, 50 litres, Light Grey",1282.0,Home > Appliances > Heaters,Home & Kitchen,Value
"Sujata Dynamix, Mixer Grinder, 900 Watts, 3 Jars (White)",8073.0,Home > Kitchen > Mixer,Home & Kitchen,Mid-Range
"Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",14999.0,Mobile > Phones > Mid-Tier,Electronics,Mid-Range
"OPPO A74 5G (Fluid Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",20990.0,Mobile > Phones > Mid-Tier,Electronics,Mid-Range
"Milton Go Electro 2.0 Stainless Steel Electric Kettle, 1 Piece, 2 Litres, Silver | Power Indicator | 1500 Watts | Auto Cut-off | Detachable 360 Degree Connector | Boiler for Water",1750.0,Home > Kitchen > Mixer,Home & Kitchen,Value
"Classmate Long Book - Unruled, 160 Pages, 314 mm x 194 mm - Pack Of 3",165.0,Stationery > Accessories > Cables,Home & Kitchen,Value
Parker Vector Standard Chrome Trim Ball Pen (Ink - Black),320.0,Home > Accessories > Heaters,Electronics,Value
"Bajaj Majesty DX-11 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White and Blue",785.0,Home > Appliances > Heaters,Home & Kitchen,Value
"Motorola a10 Dual Sim keypad Mobile with 1750 mAh Battery, Expandable Storage Upto 32GB, Wireless FM with Recording - Dark Blue",1630.0,Mobile > Phones > Value Tier,Electronics,Value
"Western Digital WD 1.5TB Elements Portable Hard Disk Drive, USB 3.0, Compatible with PC, PS4 and Xbox, External HDD (WDBU6Y0015BBK-WESN)",5734.0,Mobile > Accessories > Value Tier,Electronics,Value
"Morphy Richards Icon Superb 750W Mixer Grinder, 4 Jars, Silver and Black",7795.0,Home > Kitchen > Mixer,Home & Kitchen,Mid-Range
Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black),19990.0,Mobile > Phones > Premium Tier,Electronics,Premium
TCL 80 cm (32 inches) HD Ready Certified Android Smart LED TV 32S615 (Black),31990.0,Mobile > Phones > Mid-Tier,Electronics,Premium
Butterfly EKN 1.5-Litre Electric Kettle (Silver with Black),1111.0,Home > Appliances > Heaters,Home & Kitchen,Value
Havells OFR 13 Wave Fin with PTC Fan Heater 2900 Watts (Black),19825.0,Home > Appliances > Heaters,Home & Kitchen,Mid-Range
HP 682 Black Original Ink Cartridge,861.0,Electronics > Accessories > Cables,Electronics,Value
